vendor_id,quarter,credit_risk_score_proxy,days_payable_outstanding,price_volatility_index
V0006,2024Q4,62.1,56.5,7.61
V0006,2025Q1,61.9,61.1,5.14
V0006,2025Q2,62.3,59.0,8.5
V0006,2025Q3,61.7,50.3,9.92
V0006,2025Q4,61.1,63.9,7.98
V0006,2026Q1,61.6,57.8,3.94
V0006,2026Q2,61.7,73.1,6.62
V0007,2022Q1,61.9,61.8,5.8
V0007,2022Q2,61.4,68.2,9.19
V0007,2022Q3,61.7,64.7,5.47
V0007,2022Q4,62.0,63.2,6.98
V0007,2023Q1,62.4,67.9,5.87
V0007,2023Q2,62.5,61.2,8.79
V0007,2023Q3,62.6,63.7,7.69
V0007,2023Q4,63.3,58.2,5.21
V0007,2024Q1,63.0,63.9,9.54
V0007,2024Q2,62.5,68.0,9.26
V0007,2024Q3,62.7,55.3,8.67
V0007,2024Q4,62.7,60.5,4.75
V0007,2025Q1,62.1,61.2,11.07
V0007,2025Q2,61.7,73.6,10.11
V0007,2025Q3,61.3,60.8,10.11
V0007,2025Q4,61.6,65.8,9.14
V0007,2026Q1,61.8,52.2,5.78
V0007,2026Q2,61.9,59.5,6.99
V0008,2022Q1,34.1,84.0,17.82
V0008,2022Q2,33.3,97.8,35.37
V0008,2022Q3,33.5,79.7,22.11
V0008,2022Q4,33.6,89.5,20.25
V0008,2023Q1,34.0,89.9,17.5
V0008,2023Q2,34.2,85.8,19.82
V0008,2023Q3,34.4,88.0,18.87
V0008,2023Q4,34.5,76.3,21.82
V0008,2024Q1,34.2,95.6,29.1
V0008,2024Q2,34.2,108.1,41.67
V0008,2024Q3,34.1,94.4,28.87
V0008,2024Q4,33.1,86.9,22.1
V0008,2025Q1,33.0,76.0,18.99
V0008,2025Q2,32.9,100.2,26.46
V0008,2025Q3,32.6,96.1,25.45
V0008,2025Q4,32.1,85.0,27.3
V0008,2026Q1,32.1,91.1,23.75
V0008,2026Q2,32.7,82.2,17.62
V0009,2022Q1,47.3,67.7,7.89
V0009,2022Q2,47.1,88.4,19.93
V0009,2022Q3,47.0,77.8,10.89
V0009,2022Q4,47.0,69.2,10.31
V0009,2023Q1,47.1,76.6,12.09
V0009,2023Q2,46.8,70.9,12.93
V0009,2023Q3,46.8,69.2,14.4
V0009,2023Q4,46.8,72.1,12.5
V0009,2024Q1,46.1,70.7,17.77
V0009,2024Q2,46.1,87.8,14.86
V0009,2024Q3,45.8,69.5,13.19
V0009,2024Q4,45.8,72.2,13.74
V0009,2025Q1,46.2,83.4,10.79
V0009,2025Q2,45.5,70.3,17.62
V0009,2025Q3,45.8,64.7,18.58
V0009,2025Q4,45.3,72.4,16.66
V0009,2026Q1,45.5,73.1,11.15
V0009,2026Q2,45.8,62.2,15.17
V0010,2022Q1,34.0,83.1,20.99
V0010,2022Q2,33.1,92.9,29.55
V0010,2022Q3,32.9,84.6,20.98
V0010,2022Q4,32.9,83.2,21.47
V0010,2023Q1,32.9,80.6,20.86
V0010,2023Q2,33.0,84.4,22.31
V0010,2023Q3,33.0,89.0,15.55
V0010,2023Q4,33.0,85.3,19.69
V0010,2024Q1,32.5,83.3,28.8
V0010,2024Q2,32.1,93.7,32.0
V0010,2024Q3,32.0,86.9,18.82
V0010,2024Q4,32.4,91.0,21.33
V0010,2025Q1,32.7,71.7,19.0
V0010,2025Q2,32.8,100.3,27.76
V0010,2025Q3,32.9,90.1,25.1
V0010,2025Q4,33.2,92.7,25.6
V0010,2026Q1,33.4,86.6,20.84
V0010,2026Q2,33.7,77.8,17.62
V0011,2022Q1,48.4,65.5,11.56
V0011,2022Q2,48.4,70.1,12.29
V0011,2022Q3,48.2,80.1,13.41
V0011,2022Q4,48.2,84.7,10.76
V0011,2023Q1,48.3,71.1,12.76
V0011,2023Q2,48.4,86.6,12.78
V0011,2023Q3,48.5,64.8,11.16
V0011,2023Q4,48.6,68.3,13.32
V0011,2024Q1,48.1,73.6,14.66
V0011,2024Q2,48.1,75.6,17.55
V0011,2024Q3,48.3,66.4,15.31
V0011,2024Q4,48.4,77.2,13.85
V0011,2025Q1,48.6,67.2,9.88
V0011,2025Q2,48.6,65.2,13.03
V0011,2025Q3,48.2,72.9,13.14
V0011,2025Q4,47.9,73.8,14.86
V0011,2026Q1,48.0,56.0,13.76
V0011,2026Q2,48.5,68.9,12.16
V0012,2022Q1,81.9,48.1,3.67
V0012,2022Q2,81.1,51.1,1.43
V0012,2022Q3,81.6,45.0,1.4
V0012,2022Q4,81.8,42.7,0.72
V0012,2023Q1,81.4,52.6,2.8
V0012,2023Q2,81.3,58.7,3.17
V0012,2023Q3,81.2,56.5,1.68
V0012,2023Q4,81.1,44.7,2.86
V0012,2024Q1,80.7,63.3,2.51
V0012,2024Q2,79.8,54.9,4.44
V0012,2024Q3,79.1,44.9,3.51
V0012,2024Q4,79.5,46.7,1.82
V0012,2025Q1,79.5,26.4,2.09
V0012,2025Q2,79.0,42.2,3.3
V0012,2025Q3,79.1,52.8,1.37
V0012,2025Q4,79.1,50.2,2.78
V0012,2026Q1,79.4,38.9,0.82
V0012,2026Q2,79.8,48.9,2.47
V0013,2022Q1,82.1,57.2,4.76
V0013,2022Q2,81.5,65.6,4.92
V0013,2022Q3,82.0,49.1,0.61
V0013,2022Q4,82.2,42.5,3.65
V0013,2023Q1,81.7,47.3,2.78
V0013,2023Q2,82.1,50.8,1.19
V0013,2023Q3,81.9,41.1,1.49
V0013,2023Q4,81.9,50.8,0.0
V0013,2024Q1,81.0,44.1,2.75
V0013,2024Q2,80.9,54.6,1.07
V0013,2024Q3,81.3,51.8,3.52
V0013,2024Q4,81.2,44.9,4.02
V0013,2025Q1,81.3,45.8,2.77
V0013,2025Q2,81.1,46.6,3.44
V0013,2025Q3,81.1,42.0,2.54
V0013,2025Q4,80.7,49.3,5.23
V0013,2026Q1,81.0,44.0,6.14
V0013,2026Q2,80.6,41.7,2.31
V0014,2022Q1,61.7,49.4,9.03
V0014,2022Q2,62.2,54.3,11.55
V0014,2022Q3,61.5,58.7,4.74
V0014,2022Q4,61.5,58.4,6.8
V0014,2023Q1,61.2,58.8,7.01
V0014,2023Q2,61.3,49.2,9.73
V0014,2023Q3,61.2,60.2,8.03
V0014,2023Q4,61.4,51.4,3.05
V0014,2024Q1,61.6,72.4,13.87
V0014,2024Q2,61.2,70.6,8.58
V0014,2024Q3,61.4,58.1,7.57
V0014,2024Q4,61.5,64.1,5.11
V0014,2025Q1,61.4,58.2,8.56
V0014,2025Q2,61.4,70.3,12.55
V0014,2025Q3,61.4,64.0,6.81
V0014,2025Q4,60.8,53.8,7.04
V0014,2026Q1,61.1,49.6,9.74
V0014,2026Q2,61.2,51.0,10.13
V0015,2022Q1,34.4,90.7,20.2
V0015,2022Q2,34.1,83.4,30.68
V0015,2022Q3,33.9,74.4,19.71
V0015,2022Q4,34.0,79.6,19.56
V0015,2023Q1,33.8,77.4,21.12
V0015,2023Q2,34.1,89.9,19.98
V0015,2023Q3,33.8,82.8,21.63
V0015,2023Q4,33.9,78.1,20.25
V0015,2024Q1,33.5,90.4,30.04
V0015,2024Q2,32.9,98.2,30.49
V0015,2024Q3,33.3,76.7,20.14
V0015,2024Q4,33.9,81.1,22.11
V0015,2025Q1,34.0,91.5,19.01
V0015,2025Q2,34.2,92.9,24.09
V0015,2025Q3,34.2,96.3,28.57
V0015,2025Q4,33.5,90.8,30.48
V0015,2026Q1,33.7,73.2,21.21
V0015,2026Q2,34.0,93.3,18.79
V0016,2022Q1,72.6,57.1,3.81
V0016,2022Q2,72.1,53.7,6.95
V0016,2022Q3,72.0,40.3,2.56
V0016,2022Q4,71.9,40.0,3.54
V0016,2023Q1,71.7,48.4,4.91
V0016,2023Q2,72.0,40.7,5.9
V0016,2023Q3,72.6,53.0,7.23
V0016,2023Q4,72.8,49.7,3.0
V0016,2024Q1,72.6,49.6,7.25
V0016,2024Q2,72.2,69.5,4.64
V0016,2024Q3,71.9,61.3,4.82
V0016,2024Q4,72.2,41.4,0.02
V0016,2025Q1,72.3,37.0,6.43
V0016,2025Q2,71.9,56.6,7.73
V0016,2025Q3,71.8,49.5,3.83
V0016,2025Q4,71.8,49.2,4.88
V0016,2026Q1,71.9,47.6,0.0
V0016,2026Q2,72.1,53.3,2.13
V0017,2022Q1,48.1,67.0,8.5
V0017,2022Q2,47.9,59.3,12.37
V0017,2022Q3,48.1,87.0,14.76
V0017,2022Q4,48.5,59.4,12.59
V0017,2023Q1,48.6,66.9,9.03
V0017,2023Q2,48.7,58.9,11.32
V0017,2023Q3,48.8,71.9,12.56
V0017,2023Q4,48.6,65.6,10.97
V0017,2024Q1,47.8,63.3,13.58
V0017,2024Q2,47.8,77.2,11.25
V0017,2024Q3,48.4,69.0,14.6
V0017,2024Q4,48.6,73.0,14.71
V0017,2025Q1,48.9,68.8,11.69
V0017,2025Q2,48.7,84.3,16.73
V0017,2025Q3,48.9,76.7,14.26
V0017,2025Q4,48.2,78.3,14.52
V0017,2026Q1,48.4,71.2,11.11
V0017,2026Q2,48.0,67.1,9.83
V0018,2022Q1,61.7,42.7,2.49
V0018,2022Q2,61.3,79.1,11.67
V0018,2022Q3,61.4,65.0,7.35
V0018,2022Q4,61.5,49.8,6.95
V0018,2023Q1,61.4,57.2,5.96
V0018,2023Q2,61.3,56.7,7.32
V0018,2023Q3,61.1,56.3,6.79
V0018,2023Q4,61.2,65.0,9.1
V0018,2024Q1,61.2,70.0,16.11
V0018,2024Q2,60.5,68.4,18.33
V0018,2024Q3,60.4,74.2,9.47
V0018,2024Q4,61.0,72.6,4.15
V0018,2025Q1,60.8,62.6,8.95
V0018,2025Q2,60.8,63.6,7.57
V0018,2025Q3,61.0,70.0,10.47
V0018,2025Q4,60.5,63.9,8.87
V0018,2026Q1,60.6,48.6,5.9
V0018,2026Q2,60.8,59.0,6.88
V0019,2022Q1,81.8,45.9,0.14
V0019,2022Q2,82.0,48.2,0.4
V0019,2022Q3,82.3,40.6,2.43
V0019,2022Q4,82.5,44.8,0.95
V0019,2023Q1,82.4,49.4,2.77
V0019,2023Q2,82.3,42.6,1.95
V0019,2023Q3,82.5,47.2,1.62
V0019,2023Q4,82.3,37.0,6.51
V0019,2024Q1,81.8,48.6,5.65
V0019,2024Q2,81.3,54.3,2.76
V0019,2024Q3,81.3,48.1,2.78
V0019,2024Q4,81.1,43.6,3.35
V0019,2025Q1,81.3,43.9,0.12
V0019,2025Q2,81.5,53.8,7.8
V0019,2025Q3,81.4,53.2,3.22
V0019,2025Q4,80.7,51.2,0.0
V0019,2026Q1,80.6,46.8,1.96
V0019,2026Q2,79.9,46.2,0.0
V0020,2022Q1,34.2,84.5,22.41
V0020,2022Q2,33.2,83.0,34.23
V0020,2022Q3,33.7,100.3,20.63
V0020,2022Q4,33.8,86.9,21.52
V0020,2023Q1,33.8,73.6,19.22
V0020,2023Q2,33.7,81.6,21.55
V0020,2023Q3,34.3,84.6,17.81
V0020,2023Q4,34.2,78.3,19.86
V0020,2024Q1,33.3,90.0,31.5
V0020,2024Q2,32.9,95.3,31.02
V0020,2024Q3,32.7,84.6,22.22
V0020,2024Q4,32.9,87.2,19.47
V0020,2025Q1,32.8,84.2,20.52
V0020,2025Q2,32.7,88.4,25.78
V0020,2025Q3,32.7,88.4,24.16
V0020,2025Q4,32.5,95.6,26.37
V0020,2026Q1,32.3,87.2,18.43
V0020,2026Q2,32.5,91.2,18.51
V0021,2022Q1,61.7,60.6,6.78
V0021,2022Q2,61.8,64.7,5.72
V0021,2022Q3,61.9,59.3,4.37
V0021,2022Q4,62.1,60.7,6.63
V0021,2023Q1,62.4,46.9,6.01
V0021,2023Q2,62.5,54.2,5.09
V0021,2023Q3,62.6,52.4,8.22
V0021,2023Q4,62.8,56.8,6.65
V0021,2024Q1,62.5,57.7,6.19
V0021,2024Q2,62.9,66.0,6.75
V0021,2024Q3,63.0,60.9,5.21
V0021,2024Q4,62.6,55.6,5.27
V0021,2025Q1,62.6,60.9,5.57
V0021,2025Q2,62.6,72.3,8.12
V0021,2025Q3,62.4,65.5,9.13
V0021,2025Q4,62.6,66.8,10.56
V0021,2026Q1,62.4,63.6,6.44
V0021,2026Q2,62.6,48.4,8.34
V0022,2022Q1,62.2,59.7,2.41
V0022,2022Q2,62.0,74.0,8.81
V0022,2022Q3,62.3,51.4,5.78
V0022,2022Q4,62.2,63.9,8.17
V0022,2023Q1,62.1,56.6,7.86
V0022,2023Q2,62.2,63.9,5.27
V0022,2023Q3,62.7,63.4,3.2
V0022,2023Q4,62.7,50.7,6.8
V0022,2024Q1,61.5,57.3,10.37
V0022,2024Q2,61.0,71.7,9.68
V0022,2024Q3,61.3,65.5,4.25
V0022,2024Q4,61.0,54.1,6.85
V0022,2025Q1,61.3,49.4,4.52
V0022,2025Q2,61.1,53.7,7.71
V0022,2025Q3,60.8,60.2,12.2
V0022,2025Q4,60.4,56.6,7.89
V0022,2026Q1,60.4,61.8,7.88
V0022,2026Q2,60.3,57.1,5.65
V0023,2022Q1,73.0,56.5,6.1
V0023,2022Q2,73.2,46.5,2.58
V0023,2022Q3,72.7,49.4,2.64
V0023,2022Q4,73.1,41.6,5.48
V0023,2023Q1,72.6,43.8,2.45
V0023,2023Q2,72.4,56.5,3.87
V0023,2023Q3,72.8,50.4,2.41
V0023,2023Q4,72.4,47.8,2.75
V0023,2024Q1,72.6,56.0,6.79
V0023,2024Q2,72.8,44.2,5.36
V0023,2024Q3,73.0,45.0,4.42
V0023,2024Q4,72.9,44.8,5.92
V0023,2025Q1,72.9,56.0,3.67
V0023,2025Q2,72.5,43.2,8.62
V0023,2025Q3,72.6,49.4,0.65
V0023,2025Q4,72.7,56.5,6.86
V0023,2026Q1,72.2,42.4,4.22
V0023,2026Q2,72.1,47.0,0.0
V0024,2022Q1,72.9,51.2,5.34
V0024,2022Q2,72.5,56.4,7.99
V0024,2022Q3,72.4,61.4,4.7
V0024,2022Q4,72.5,50.2,2.27
V0024,2023Q1,72.8,45.4,6.12
V0024,2023Q2,72.9,45.1,4.82
V0024,2023Q3,72.7,45.5,4.37
V0024,2023Q4,72.8,47.3,3.06
V0024,2024Q1,72.3,61.0,7.31
V0024,2024Q2,72.1,53.6,10.26
V0024,2024Q3,71.5,44.5,5.02
V0024,2024Q4,72.1,51.9,3.36
V0024,2025Q1,72.6,47.0,2.37
V0024,2025Q2,72.6,63.2,2.05
V0024,2025Q3,72.9,59.9,6.85
V0024,2025Q4,72.9,58.4,6.1
V0024,2026Q1,72.9,42.5,2.19
V0024,2026Q2,73.0,50.6,2.47
V0025,2022Q1,61.8,57.7,5.7
V0025,2022Q2,61.1,71.9,9.15
V0025,2022Q3,61.2,61.0,7.17
V0025,2022Q4,61.2,67.5,8.75
V0025,2023Q1,61.8,55.1,7.34
V0025,2023Q2,62.1,69.7,9.05
V0025,2023Q3,62.0,58.3,6.98
V0025,2023Q4,62.0,56.3,7.35
V0025,2024Q1,60.7,59.7,11.97
V0025,2024Q2,61.1,66.9,9.73
V0025,2024Q3,60.8,53.4,6.9
V0025,2024Q4,61.0,53.6,6.95
V0025,2025Q1,61.3,63.8,7.42
V0025,2025Q2,61.0,53.8,8.49
V0025,2025Q3,61.1,63.8,10.08
V0025,2025Q4,61.2,70.0,10.29
V0025,2026Q1,61.4,42.7,8.15
V0025,2026Q2,62.0,49.8,9.1
V0026,2022Q1,82.3,46.9,0.0
V0026,2022Q2,81.4,55.1,6.29
V0026,2022Q3,81.0,43.3,3.47
V0026,2022Q4,80.9,43.6,4.91
V0026,2023Q1,81.2,47.9,0.0
V0026,2023Q2,81.1,45.9,1.96
V0026,2023Q3,81.3,53.7,2.02
V0026,2023Q4,81.5,25.8,0.98
V0026,2024Q1,81.4,48.9,1.09
V0026,2024Q2,81.7,56.8,1.91
V0026,2024Q3,82.0,42.5,0.0
V0026,2024Q4,81.9,40.3,0.74
V0026,2025Q1,81.6,44.9,3.38
V0026,2025Q2,81.3,48.1,3.44
V0026,2025Q3,81.1,53.0,2.23
V0026,2025Q4,81.2,48.9,0.87
V0026,2026Q1,81.5,54.1,0.41
V0026,2026Q2,81.8,38.4,0.0
V0027,2022Q1,62.2,60.8,7.42
V0027,2022Q2,62.2,63.4,5.57
V0027,2022Q3,62.7,62.2,4.58
V0027,2022Q4,62.3,52.2,8.17
V0027,2023Q1,62.4,54.3,7.04
V0027,2023Q2,62.6,62.9,7.16
V0027,2023Q3,62.8,68.0,8.23
V0027,2023Q4,62.3,58.2,7.97
V0027,2024Q1,62.6,55.1,9.06
V0027,2024Q2,62.4,53.7,4.54
V0027,2024Q3,62.1,58.9,6.97
V0027,2024Q4,62.0,58.1,8.61
V0027,2025Q1,62.6,57.1,10.39
V0027,2025Q2,62.3,58.5,12.05
V0027,2025Q3,61.9,61.7,8.3
V0027,2025Q4,62.5,58.7,7.3
V0027,2026Q1,62.9,55.6,4.21
V0027,2026Q2,63.1,52.0,6.32
V0028,2022Q1,73.2,51.8,2.51
V0028,2022Q2,72.7,53.8,8.76
V0028,2022Q3,72.8,37.7,0.0
V0028,2022Q4,73.0,50.6,5.69
V0028,2023Q1,72.6,49.7,5.07
V0028,2023Q2,72.3,44.0,3.17
V0028,2023Q3,73.0,47.1,5.36
V0028,2023Q4,73.3,47.8,4.39
V0028,2024Q1,72.3,69.1,6.16
V0028,2024Q2,71.9,49.2,4.71
V0028,2024Q3,72.7,48.9,2.75
V0028,2024Q4,72.6,32.5,3.88
V0028,2025Q1,72.7,44.5,4.53
V0028,2025Q2,72.6,33.7,5.66
V0028,2025Q3,72.6,48.8,6.69
V0028,2025Q4,72.0,55.4,5.5
V0028,2026Q1,72.4,53.4,3.46
V0028,2026Q2,73.3,58.7,2.07
V0029,2022Q1,72.9,49.2,1.0
V0029,2022Q2,72.7,53.9,4.14
V0029,2022Q3,72.3,48.9,1.9
V0029,2022Q4,72.2,67.1,4.49
V0029,2023Q1,72.5,56.0,4.42
V0029,2023Q2,72.6,53.9,4.17
V0029,2023Q3,72.7,49.4,3.03
V0029,2023Q4,72.3,44.4,3.33
V0029,2024Q1,71.9,64.7,6.52
V0029,2024Q2,71.7,48.7,5.59
V0029,2024Q3,71.5,60.5,2.12
V0029,2024Q4,71.8,66.3,4.9
V0029,2025Q1,71.0,56.3,3.82
V0029,2025Q2,70.5,55.2,6.53
V0029,2025Q3,70.1,57.2,5.95
V0029,2025Q4,70.5,54.7,6.11
V0029,2026Q1,70.3,52.5,4.65
V0029,2026Q2,70.5,53.3,6.07
V0030,2022Q1,72.8,47.8,8.5
V0030,2022Q2,72.3,57.1,8.95
V0030,2022Q3,71.9,59.4,5.63
V0030,2022Q4,72.3,51.5,2.76
V0030,2023Q1,72.1,48.2,6.3
V0030,2023Q2,72.7,60.1,3.46
V0030,2023Q3,72.4,49.8,7.79
V0030,2023Q4,72.5,47.2,7.18
V0030,2024Q1,72.1,46.7,1.65
V0030,2024Q2,72.7,53.2,5.98
V0030,2024Q3,72.4,58.0,0.0
V0030,2024Q4,72.1,51.0,5.81
V0030,2025Q1,72.0,38.2,2.21
V0030,2025Q2,71.5,71.3,6.58
V0030,2025Q3,71.1,45.0,3.56
V0030,2025Q4,71.1,51.6,9.51
V0030,2026Q1,71.1,53.7,2.59
V0030,2026Q2,71.5,47.4,6.09
V0031,2022Q1,73.1,60.9,4.42
V0031,2022Q2,72.8,51.4,3.38
V0031,2022Q3,73.0,49.2,5.53
V0031,2022Q4,72.9,51.5,2.48
V0031,2023Q1,73.0,44.4,4.24
V0031,2023Q2,72.9,57.6,2.58
V0031,2023Q3,72.7,48.3,5.83
V0031,2023Q4,72.7,49.0,3.3
V0031,2024Q1,72.4,53.9,4.41
V0031,2024Q2,71.5,63.0,7.45
V0031,2024Q3,70.7,63.9,5.64
V0031,2024Q4,71.0,45.1,3.08
V0031,2025Q1,70.8,44.7,3.51
V0031,2025Q2,70.8,57.4,6.8
V0031,2025Q3,71.2,58.3,5.05
V0031,2025Q4,71.2,53.5,3.31
V0031,2026Q1,72.0,55.7,5.01
V0031,2026Q2,72.2,54.1,4.6
V0032,2022Q1,73.0,56.4,4.08
V0032,2022Q2,73.4,50.9,1.09
V0032,2022Q3,73.5,46.4,2.0
V0032,2022Q4,73.3,40.8,5.55
V0032,2023Q1,73.4,51.4,1.62
V0032,2023Q2,73.5,62.2,4.37
V0032,2023Q3,73.3,43.2,2.5
V0032,2023Q4,73.8,47.3,0.75
V0032,2024Q1,73.4,54.8,3.98
V0032,2024Q2,73.1,55.4,6.37
V0032,2024Q3,73.1,58.9,4.88
V0032,2024Q4,73.3,44.1,0.75
V0032,2025Q1,74.0,54.4,1.88
V0032,2025Q2,74.0,54.8,4.59
V0032,2025Q3,73.5,56.1,7.87
V0032,2025Q4,73.5,67.4,4.78
V0032,2026Q1,73.5,55.7,5.35
V0032,2026Q2,74.1,63.6,3.37
V0033,2022Q1,47.4,53.4,12.89
V0033,2022Q2,46.9,83.4,18.04
V0033,2022Q3,47.5,62.4,10.97
V0033,2022Q4,47.4,73.2,11.03
V0033,2023Q1,47.3,77.3,14.19
V0033,2023Q2,47.5,63.6,12.82
V0033,2023Q3,47.8,69.3,10.45
V0033,2023Q4,47.6,71.6,14.74
V0033,2024Q1,47.0,80.1,20.08
V0033,2024Q2,46.8,83.4,16.92
V0033,2024Q3,46.9,61.8,10.69
V0033,2024Q4,46.8,64.1,13.28
V0033,2025Q1,46.4,62.3,13.59
V0033,2025Q2,46.2,68.0,16.56
V0033,2025Q3,46.1,76.0,16.0
V0033,2025Q4,46.0,69.5,15.0
V0033,2026Q1,46.3,72.5,12.63
V0033,2026Q2,46.4,72.0,9.06
V0034,2022Q1,82.1,49.9,0.0
V0034,2022Q2,81.9,63.4,4.15
V0034,2022Q3,81.3,45.7,0.42
V0034,2022Q4,81.4,47.3,3.34
V0034,2023Q1,81.5,43.5,4.86
V0034,2023Q2,81.3,37.3,1.46
V0034,2023Q3,81.3,40.0,3.09
V0034,2023Q4,81.2,49.2,0.0
V0034,2024Q1,80.6,58.6,1.87
V0034,2024Q2,80.2,61.4,5.79
V0034,2024Q3,80.0,43.6,2.19
V0034,2024Q4,80.3,36.7,0.0
V0034,2025Q1,80.6,50.7,1.19
V0034,2025Q2,80.3,50.3,2.87
V0034,2025Q3,80.3,63.7,0.8
V0034,2025Q4,80.0,46.9,2.73
V0034,2026Q1,80.0,42.1,0.0
V0034,2026Q2,79.9,36.2,2.97
V0035,2022Q1,81.8,49.7,3.15
V0035,2022Q2,81.9,53.3,3.71
V0035,2022Q3,81.6,43.9,2.82
V0035,2022Q4,81.3,48.2,2.33
V0035,2023Q1,81.3,45.8,1.58
V0035,2023Q2,81.5,50.9,4.8
V0035,2023Q3,81.4,46.8,0.1
V0035,2023Q4,82.2,49.9,0.18
V0035,2024Q1,82.2,42.8,1.29
V0035,2024Q2,81.6,51.1,4.21
V0035,2024Q3,81.4,42.2,1.69
V0035,2024Q4,81.6,42.9,2.53
V0035,2025Q1,81.8,47.9,0.0
V0035,2025Q2,81.6,38.9,2.56
V0035,2025Q3,81.4,53.4,0.0
V0035,2025Q4,80.9,46.9,1.82
V0035,2026Q1,81.1,37.9,2.46
V0035,2026Q2,81.1,53.5,0.0
V0036,2022Q1,73.3,48.6,2.69
V0036,2022Q2,73.7,47.4,4.79
