vendor_id,vendor_name,category,country,region,tier,onboarding_date,annual_spend_usd,certifications,single_source_flag
V0050,PASS-VIE-50,Passive Components,Vietnam,APAC,Tier 2,2021-01-28,1416100.0,None,False
V0051,PACK-MAL-51,Packaging,Malaysia,APAC,Tier 3,2021-04-17,81900.0,None,False
V0052,PASS-JAP-52,Passive Components,Japan,APAC,Tier 3,2020-11-16,167500.0,"IATF16949, ISO9001, RoHS",False
V0053,CONN-UNI-53,Connectors,United States,AMER,Tier 2,2022-10-21,1848600.0,IATF16949,True
V0054,ENCL-TAI-54,Enclosures / Metal,Taiwan,APAC,Tier 1,2021-05-31,2925500.0,"IATF16949, RoHS",False
V0055,PACK-CZE-55,Packaging,Czech Republic,EMEA,Tier 2,2018-08-04,1514800.0,"ISO14001, ISO9001, REACH",False
V0056,PCB-CZE-56,PCB / PCBA,Czech Republic,EMEA,Tier 2,2018-11-20,1601000.0,"IATF16949, ISO9001, REACH",False
V0057,CONN-SOU-57,Connectors,South Korea,APAC,Tier 3,2019-09-14,373700.0,"IATF16949, ISO14001, ISO9001, REACH",False
V0058,SEMI-GER-58,Semiconductors,Germany,EMEA,Tier 1,2022-07-06,8568300.0,"ISO14001, ISO9001, RoHS",True
V0059,BATT-SOU-59,Batteries,South Korea,APAC,Tier 1,2022-07-11,3186700.0,"ISO14001, ISO9001",False
V0060,DISP-JAP-60,Displays,Japan,APAC,Tier 3,2020-03-29,131400.0,"ISO14001, RoHS",False
V0061,PASS-POL-61,Passive Components,Poland,EMEA,Tier 3,2018-06-16,207900.0,None,False
V0062,PACK-MEX-62,Packaging,Mexico,AMER,Tier 2,2018-08-02,628800.0,"ISO14001, REACH, RoHS",False
V0063,CONN-TAI-63,Connectors,Taiwan,APAC,Tier 3,2018-05-13,332300.0,"IATF16949, ISO9001, REACH",True
V0064,ENCL-BRA-64,Enclosures / Metal,Brazil,AMER,Tier 2,2019-11-08,1700500.0,"IATF16949, ISO14001, REACH, RoHS",False
V0065,SEMI-SOU-65,Semiconductors,South Korea,APAC,Tier 1,2021-11-19,9259300.0,"ISO9001, REACH",False
V0066,ENCL-MAL-66,Enclosures / Metal,Malaysia,APAC,Tier 1,2020-05-05,2731900.0,IATF16949,True
V0067,PCB-GER-67,PCB / PCBA,Germany,EMEA,Tier 3,2022-10-22,162500.0,ISO14001,False
V0068,CONN-BRA-68,Connectors,Brazil,AMER,Tier 1,2022-11-06,2561100.0,"ISO14001, ISO9001, REACH, RoHS",False
V0069,PASS-TAI-69,Passive Components,Taiwan,APAC,Tier 3,2022-11-04,218800.0,"IATF16949, ISO9001, RoHS",False
V0070,PCB-IND-70,PCB / PCBA,India,APAC,Tier 3,2022-07-03,37300.0,RoHS,False
